num_artists,num_playlists,streams,bpm,bpm_category,scale,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,is_hyper_popular
1,9082,999748277,97,Low,Major,64,51,63,12,0,19,5,False
1,6646,991336132,72,Low,Minor,45,27,33,82,0,14,4,False
1,6330,988515741,170,High,Major,44,27,32,89,0,14,5,False
1,1007,98709329,152,Medium,Major,65,35,65,44,18,21,7,False
1,20333,983637508,112,Medium,Minor,56,24,66,7,0,12,3,False
1,367,97610446,145,Medium,Major,56,43,53,24,0,12,4,False
2,10565,972509632,121,Medium,Minor,67,26,64,52,0,17,10,False
1,7536,972164968,76,Low,Major,58,46,67,65,0,13,4,False
1,451,96273746,130,Medium,Minor,82,69,83,3,0,27,5,False
2,1169,96180277,119,Medium,Minor,60,10,57,1,0,50,3,False
1,782,96007391,90,Low,Minor,61,32,67,15,0,11,5,False
2,209,95816024,89,Low,Minor,73,44,57,39,0,32,6,False
2,7370,956865266,102,Low,Major,74,45,89,5,0,26,13,False
1,579,95623148,104,Low,Major,56,72,85,0,0,15,3,False
1,1096,95217315,130,Medium,Minor,85,22,62,12,0,28,9,False
1,5398,951637566,129,Medium,Major,61,59,46,56,0,13,5,False
1,804,95131998,172,High,Minor,74,76,76,6,0,10,9,False
1,13801,950906471,81,Low,Minor,68,51,60,3,0,19,10,False
1,324,95053634,122,Medium,Major,78,70,81,57,0,10,5,False
2,461,94616487,71,Low,Minor,59,70,74,56,0,11,40,False
3,727,94186466,90,Low,Minor,60,13,53,4,0,21,4,False
2,1042,94005786,150,Medium,Minor,73,71,69,53,0,32,9,False
1,7681,939844851,174,High,Major,47,27,78,11,0,10,8,False
2,454,93587665,83,Low,Major,53,40,36,73,0,11,33,False
2,387,93438910,140,Medium,Major,86,68,79,39,0,11,29,False
3,52898,933815613,116,Medium,Minor,79,87,81,4,0,10,4,False
1,1045,93367537,142,Medium,Minor,85,40,43,4,0,39,32,False
1,3859,929964809,117,Medium,Minor,73,31,69,6,0,11,4,False
1,11985,924193303,101,Low,Minor,76,63,71,3,0,10,3,False
1,7963,920797189,88,Low,Minor,74,55,85,1,0,5,22,False
2,327,92035115,104,Low,Minor,80,38,88,11,0,11,5,False
1,10431,920045682,172,High,Major,60,77,78,45,0,12,6,False
2,17115,918915401,80,Low,Minor,78,53,74,4,0,45,21,False
1,1057,91781263,83,Low,Minor,63,29,62,4,0,18,4,False
2,1178,91656026,110,Low,Major,75,85,84,10,0,31,19,False
1,953,91473363,144,Medium,Major,60,24,39,57,0,8,3,False
1,271,91221625,137,Medium,Major,77,35,88,16,0,17,9,False
1,4572,909001996,100,Low,Minor,80,29,67,29,0,12,3,False
3,1094,90839753,127,Medium,Minor,82,89,85,4,0,23,6,False
3,323,90598517,130,Medium,Minor,65,49,80,22,4,7,5,False
2,200,90025258,123,Medium,Minor,70,86,68,24,0,11,4,False
2,262,89933133,129,Medium,Major,70,42,43,78,0,11,3,False
2,7112,899183384,107,Low,Major,80,82,80,43,0,14,4,False
1,225,89566512,138,Medium,Minor,72,22,46,24,0,9,6,False
1,4375,888046992,122,Medium,Minor,67,50,67,15,0,30,4,False
1,356,88791109,121,Medium,Minor,64,67,80,0,0,36,3,False
1,17504,887906111,88,Low,Minor,79,66,65,5,0,25,14,False
1,6587,885093467,111,Medium,Major,87,53,52,66,1,11,5,False
1,8448,882831184,206,High,Major,43,50,55,50,0,15,10,False
3,1420,88103848,135,Medium,Major,41,27,64,36,0,60,3,False
1,906,88092256,76,Low,Major,60,19,20,78,0,11,5,False
1,4057,872137015,186,High,Minor,41,9,61,2,0,12,5,False
4,551,86773632,146,Medium,Minor,61,20,48,21,0,12,6,False
1,5728,865640097,90,Low,Major,75,19,46,21,4,34,8,False
3,332,86444842,140,Medium,Minor,65,87,74,22,0,42,4,False
4,12043,863756573,123,Medium,Major,82,80,86,1,0,30,13,False
1,2566,863625566,140,Medium,Minor,83,40,55,16,0,14,23,False
3,2291,86176890,123,Medium,Major,61,66,71,53,0,32,46,False
3,1601,85924992,157,Medium,Major,88,52,69,0,0,8,23,False
1,991,85559365,162,High,Minor,74,22,67,0,0,11,46,False
1,4873,851070493,133,Medium,Major,75,96,61,0,0,18,4,False
1,3069,850608354,169,High,Major,39,36,45,81,0,8,13,False
2,766,84697729,83,Low,Minor,65,24,53,6,0,51,4,False
3,6036,843957510,98,Low,Minor,71,17,61,36,0,8,5,False
2,31762,843309044,95,Low,Minor,92,31,89,3,0,8,25,False
1,13091,841749534,94,Low,Major,37,17,47,2,46,11,3,False
1,168,838586769,80,Low,Minor,39,24,43,39,0,23,3,False
1,4198,838079900,114,Medium,Minor,77,65,72,2,0,7,5,False
1,9408,834129063,133,Medium,Major,46,53,63,5,0,30,18,False
1,430,83021468,144,Medium,Major,68,83,81,9,0,8,4,False
1,10426,826623384,121,Medium,Minor,46,53,78,23,0,72,6,False
1,3006,824420218,180,High,Major,35,41,94,0,63,5,5,False
1,8186,822633917,169,High,Major,69,69,51,63,0,38,4,False
1,29499,822239726,123,Medium,Minor,91,49,61,3,0,17,22,False
1,1168,81419389,98,Low,Major,70,29,73,12,0,11,26,False
2,1064,81350745,120,Medium,Minor,84,54,51,47,0,12,40,False
1,7923,812019557,130,Medium,Minor,61,53,58,55,0,27,4,False
4,283,81102253,124,Medium,Minor,84,65,50,67,0,13,6,False
2,6821,809306935,90,Low,Minor,87,51,69,36,0,9,8,False
2,1479,80758350,78,Low,Major,71,80,65,51,0,22,32,False
1,12353,807561936,93,Low,Major,35,38,23,91,0,29,3,False
1,8429,807015863,140,Medium,Minor,45,25,84,21,0,13,6,False
1,21574,806397070,160,Medium,Major,54,54,55,67,0,42,11,False
1,7858,800840817,170,High,Major,55,58,72,11,0,11,15,False
1,4731,797402345,81,Low,Major,79,44,54,41,0,13,24,False
1,9833,797196073,103,Low,Minor,69,90,88,5,0,29,8,False
1,279,79095270,158,Medium,Minor,60,68,84,4,0,24,11,False
1,17852,789753877,147,Medium,Minor,51,62,79,22,13,14,3,False
1,7830,786181836,95,Low,Major,60,48,79,0,0,12,4,False
3,2849,78489819,140,Medium,Minor,81,6,84,5,23,6,6,False
1,3681,783706581,173,High,Major,40,19,29,86,0,34,4,False
1,250,78300654,130,Medium,Minor,79,96,86,9,0,9,9,False
1,7613,782369383,130,Medium,Major,92,78,62,18,0,6,10,False
2,398,78139948,80,Low,Minor,33,51,59,76,0,44,6,False
1,4204,777765388,120,Medium,Major,60,11,33,90,0,8,5,False
3,3423,775542072,170,High,Minor,64,14,70,9,0,9,8,False
2,407,77377503,134,Medium,Minor,67,11,76,8,47,30,7,False
1,246,77337771,127,Medium,Minor,60,40,89,9,0,60,6,False
1,266,77309611,158,Medium,Major,54,50,40,61,0,10,6,False
2,385,77233241,117,Medium,Minor,77,69,58,39,0,26,5,False
1,14994,769213520,140,Medium,Major,70,85,41,71,0,45,5,False
2,351,76910644,110,Low,Minor,76,26,70,1,0,41,6,False
3,2308,76831876,138,Medium,Minor,57,71,82,19,0,15,29,False
1,349,76767396,105,Low,Major,80,69,78,28,0,11,14,False
